refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco
19,"25082306","",1,100.0,1,"은빛돌풍",0.0,"23092405","23   09   24   05",7,33.33,"지르콘",10.3,7868,20,"23 01 07  02","1200",8,"12","지르콘","이동진",1,19.5,4.8,15.2,41.67,"4","6",4.90,3,0,"23010702","왈가닥",15.20,4.90,"왈가닥",0,0,0,0,7848,1
21,"25082306","",3,81.82,1,"은빛돌풍",2.8,"23062405","23   06   24   05",10,18.18,"정문최강",14.4,5163,60,"23 01 07  06","1400",2,"7","정문최강","김옥성",1,29.6,4.2,5.3,90.91,"3","4",-6.30,1,0,"23010706","정문최강",5.30,-8.30,"논스톱위닝",0,0,0,0,5103,2
21,"25082306","",3,81.82,1,"은빛돌풍",2.8,"23062405","23   06   24   05",6,54.55,"마에스트로",5.6,5163,65,"23 01 07  06","1400",7,"11","마에스트로","이용호",1,30.7,0.6,11.8,45.45,"O","4",9.00,3,0,"23010706","정문최강",11.80,7.00,"논스톱위닝",0,0,0,0,5098,3
19,"25082306","",1,100.0,1,"은빛돌풍",0.0,"23092405","23   09   24   05",6,44.44,"젤로스",4.7,7868,77,"23 01 07  07","1300",8,"8","젤로스","조상범",1,23.6,0.2,13.2,41.67,"4","2",8.50,2,0,"23010707","스마트별",13.20,3.50,"슈어윈",0,0,0,0,7791,4
22,"25082306","",2,90.91,1,"은빛돌풍",3.7,"23052003","23   05   20   03",7,45.45,"콜리타스",9.7,4072,146,"23 01 08  01","1200",6,"5","콜리타스","문성혁",1,18.4,0.6,10.0,58.33,"6","4",4.00,1,0,"23010801","콜리타스",10.00,2.00,"글로벌진격",0,0,0,0,3926,5
24,"25082306","",3,77.78,1,"은빛돌풍",2.2,"23031201","23   03   12   01",6,44.44,"레드태풍",8.0,2076,159,"23 01 08  02","1300",7,"8","레드태풍","박현우",1,25.7,0.6,13.6,40.00,"5","5",7.80,2,0,"23010802","아르고공주",13.60,7.80,"아르고공주",0,0,0,0,1917,6
23,"25082306","",2,90.00,1,"은빛돌풍",1.4,"23042202","23   04   22   02",4,70.00,"블루카이저",5.6,3296,169,"23 01 08  03","1300",7,"9","블루카이저","김옥성",1,25.5,4.2,11.6,40.00,"6","4",7.40,1,0,"23010803","블루카이저",11.60,5.40,"위대한한마",0,0,0,0,3127,7
20,"25082306","",2,90.91,1,"은빛돌풍",0.6,"23082606","23   08   26   06",6,54.55,"클라우터",10.2,6907,217,"23 01 08  07","1700",9,"3","클라우터","문정균",1,57.2,3.0,15.5,33.33,"6","6",5.90,2,0,"23010807","빛나는질주",15.50,5.90,"불화산",0,0,0,0,6690,8
24,"25082306","",3,77.78,1,"은빛돌풍",2.2,"23031201","23   03   12   01",4,66.67,"무장",5.8,2076,274,"23 01 14  01","1200",7,"8","무장","조상범",1,16.6,4.8,12.0,50.00,"5","4",8.40,2,0,"23011401","오키드밸리",12.00,6.40,"오키드밸리",0,0,0,0,1802,9
20,"25082306","",2,90.91,1,"은빛돌풍",0.6,"23082606","23   08   26   06",3,81.82,"성은크라운",4.2,6907,287,"23 01 14  02","1300",8,"10","성은크라운","함완식",1,22.9,0.6,12.9,41.67,"6","3",9.30,2,0,"23011402","그랜드실버",12.90,5.80,"나올고니",0,0,0,0,6620,10
19,"25082306","",1,100.0,1,"은빛돌풍",0.0,"23092405","23   09   24   05",2,88.89,"아름다운사이",1.2,7868,310,"23 01 14  04","1200",7,"6","아름다운사이","신형철",1,15.7,0.2,12.2,45.45,"4","6",11.00,2,0,"23011404","아름다운사이",12.20,11.00,"스트렝스",0,0,0,0,7558,11
20,"25082306","",2,90.91,1,"은빛돌풍",0.6,"23082606","23   08   26   06",4,72.73,"아름다운사이",5.4,6907,310,"23 01 14  04","1200",7,"6","아름다운사이","신형철",1,15.7,0.2,12.2,45.45,"6","6",7.40,5,0,"23011404","아름다운사이",12.20,7.40,"스트렝스",0,0,0,0,6597,12
