refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco,ho_befo_hi,horank_hi,ho_due_hi,ma_due_hi,jo_due_hi,enho_hi,jo_befo_hi,jorank_hi,jo_tren_hi,manager_hi,ma_befo_hi,marank_hi,owner_hi,ow_befo_hi,owrank_hi,fanpro_hi,jockey_hi,ho_befo_fr,horank_fr,ho_due_fr,ma_due_fr,jo_due_fr,enho_fr,jockey_fr,jo_befo_fr,jorank_fr,jo_tren_fr,manager_fr,ma_befo_fr,marank_fr,owner_fr,ow_befo_fr,owrank_fr,fanpro_fr,jo_gap_rk,ma_gap_rk,ow_gap_rk,jo_gap_rt,ma_gap_rt,ow_gap_rt,ho_gap_rk,ho_gap_rt,ho_gap_du,jo_gap_du,ma_gap_du
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,7,45.45,후다닥,10.5,29407,27652,25 07 06  01,1200,8,10,후다닥,오수철,1,19,0.5,23,36.36,6,6,12.5,2,0,25070601,스마트밍크,23,12.5,남촌타운,1,0,0,0,1755,3185,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,6,54.55,몬탁선샤인,10.5,29407,25367,25 04 20  01,1200,7,3,몬탁선샤인,김옥성,1,18.8,1,11,33.33,6,6,0.5,8,0,25042001,대원용마,11,0.5,플라잉콩코드,1,0,0,0,4040,2571,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,5,63.64,진주의심장,6,29407,28165,25 07 26  01,1300,10,7,진주의심장,조상범,1,26.4,8.5,21,18.18,6,6,15,5,0,25072601,타이거케이,21,15,퍼펙트다나은,1,0,0,0,1242,3306,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,3,81.82,무적함대,2,29407,27565,25 07 05  01,1000,8,9,무적함대,조상범,1,4.4,1,15.5,30,6,6,13.5,1,0,25070501,무적함대,15.5,13.5,원평스킷,1,0,0,0,1842,3162,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,6,54.55,몬탁선샤인,10.5,29407,29976,25 09 27  04,1700,11,6,몬탁선샤인,김성현,1,57.2,6,18,9.09,6,6,7.5,12,0,25092704,강철파워,18,7.5,남산미녀,1,0,0,0,-569,3656,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,3,81.82,무적함대,2,29407,28485,25 08 03  01,1200,5,5,무적함대,김용근,1,16.7,0.5,5,66.67,6,6,3,3,0,25080301,영파이터,5,3,영파이터,1,0,0,0,922,3369,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,6,54.55,몬탁선샤인,10.5,29407,27869,25 07 13  03,1300,7,6,몬탁선샤인,오수철,1,24.8,2,14,45.45,6,6,3.5,4,0,25071303,명파워,14,3.5,명파워,1,0,0,0,1538,3234,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,2,90.91,라온스나이퍼,1.5,29407,28498,25 08 03  02,1200,6,7,라온스나이퍼,송재철,1,18,1,10.5,54.55,6,6,9,3,0,25080302,혜원용마,10.5,9,기대하라,1,0,0,0,909,3373,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,6,54.55,몬탁선샤인,10.5,29407,28973,25 08 24  03,1400,10,10,몬탁선샤인,김정준,1,31.8,4.5,17.5,18.18,6,6,7,3,0,25082403,강철파워,17.5,7,엑스팩터,1,0,0,0,434,3456,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
1,25100306,,1,100,1,베스트라지,0,25090702,25   09   07   02,6,54.55,몬탁선샤인,10.5,29407,18497,24 09 08  01,1000,9,5,몬탁선샤인,김철호,1,6.3,2,16.5,11.11,6,5,6,6,0,24090801,거센폭주,16.5,6,거센폭주,1,0,0,0,10910,918,33.33,1,1,2,2,4,36.36,2,10.3,송문길,25.02,4,박정재,10.8,5,100,김정준,50,2,1,2,3,5,김효정,23.86,9,-1.2,송문길,25.29,2,박정재,13.5,9,100,-4.82,0.62,-4.73,-6.99,0.44,-7.05,1.31,43.22,-0.79,-1.57,0.58
