"RECCO","HNO_FR","REFER1","HA22_G","POWER","POOR_LOCAL","HR_DEL","X_HR","Z_MAD","P80","GATE_REASON","N_G_IN_ROUND","N_ROUND"
"5288","1",1,"2",0,0,0,5,-0.2541559383535,9.75,"",5,29
"4608","2",5,"2",-4.1,0,0,2.7,-0.0432365871459356,3.88,"",5,29
"967","3",22,"2",-3.4,0,0,2.75,-0.358903339904977,11,"",5,29
"6107","6",1,"2",-1.9,0,0,2.5,-1.0406428860496,11.3,"",5,29
"3455","3",22,"2",0,0,0,2.75,-0.358903339904977,11,"",5,29
"1189","5",19,"2",0.2,0,0,5.75,0,8.18,"",5,29
"6108","1",1,"2",-1.4,0,0,5,-0.2541559383535,9.75,"",5,29
"5102","8",7,"2",-0.5,0,0,3.55,0,4.94,"",5,29
"1251","2",5,"2",-4.4,0,0,2.7,-0.0432365871459356,3.88,"",5,29
"2605","5",14,"2",9.5,1,1,10.45,1.34898151895319,8.18,"P80",5,29
"5194","6",1,"2",-0.7,0,0,2.5,-1.0406428860496,11.3,"",5,29
"5201","3",7,"2",6.9,0,0,0.1,-1.01483013352442,11,"",5,29
"1743","2",6,"2",6.7,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"6117","1",1,"2",5,0,0,5,-0.2541559383535,9.75,"",5,29
"1774","7",16,"2",12.9,0,0,9.5,0.674490759476595,10.55,"",5,29
"5783","1",1,"2",-0.1,0,0,5,-0.2541559383535,9.75,"",5,29
"5446","4",4,"2",17.3,1,1,17,1.58426899318921,11.35,"P80",5,29
"2353","2",6,"2",3.5,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"4010","1",10,"2",3.7,0,0,6.4,0.0195504567964232,9.75,"",5,29
"5176","1",1,"2",9.9,0,0,5,-0.2541559383535,9.75,"",5,29
"6649","1",1,"2",3,0,0,5,-0.2541559383535,9.75,"",5,29
"3001","5",19,"2",2.4,0,0,5.75,0,8.18,"",5,29
"1920","2",6,"2",3.5,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"6494","3",2,"2",9,0,0,9.95,1.42323738238181,11,"",5,29
"5700","1",1,"2",2.4,0,0,5,-0.2541559383535,9.75,"",5,29
"4008","2",6,"2",2.3,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"1443","5",19,"2",2.8,0,0,5.75,0,8.18,"",5,29
"3309","8",7,"2",-2.1,0,0,3.55,0,4.94,"",5,29
"6125","1",1,"2",3.4,0,0,5,-0.2541559383535,9.75,"",5,29
"1172","3",14,"2",-2,0,0,1.6,-0.643550816381338,11,"",5,29
"4261","3",2,"2",4.6,0,0,9.95,1.42323738238181,11,"",5,29
"2740","2",6,"2",5.4,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"5142","9",1,"2",2.3,0,0,10.9,NA,10.9,"",5,29
"1885","2",6,"2",9.4,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"5910","5",2,"2",-4.9,0,0,2.4,-0.961508103934721,8.18,"",5,29
"5784","3",8,"2",-5.5,0,0,1.55,-0.655926793619441,11,"",5,29
"1884","2",6,"2",5.7,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"3296","3",14,"2",9.3,0,0,1.6,-0.643550816381338,11,"",5,29
"5193","1",1,"2",-0.2,0,0,5,-0.2541559383535,9.75,"",5,29
"4788","3",2,"2",22.9,0,0,9.95,1.42323738238181,11,"",5,29
"2997","3",22,"2",1.2,0,0,2.75,-0.358903339904977,11,"",5,29
"5701","5",2,"2",1.6,0,0,2.4,-0.961508103934721,8.18,"",5,29
"31","3",22,"2",11.3,0,0,2.75,-0.358903339904977,11,"",5,29
"1883","2",6,"2",-2.6,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"3454","1",11,"2",2.7,0,0,0.15,-1.20235309298002,9.75,"",5,29
"2728","2",6,"2",-2.1,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"6345","5",10,"2",13.1,0,0,3.3,-0.703192493922408,8.18,"",5,29
"6564","2",6,"2",0,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"4994","3",8,"2",0,0,0,1.55,-0.655926793619441,11,"",5,29
"5690","9",1,"2",5.9,0,0,10.9,NA,10.9,"",5,29
"553","7",16,"2",17.2,0,0,9.5,0.674490759476595,10.55,"",5,29
"4703","2",6,"2",0.3,0,0,-0.3,-1.08091467864839,3.88,"",5,29
"5906","6",5,"2",-0.9,0,0,11.3,1.2205070885767,11.3,"",5,29
"5908","1",1,"2",-4.1,0,0,5,-0.2541559383535,9.75,"",5,29
"1685","7",20,"2",6,0,0,6.55,-0.0907968330064649,10.55,"",5,29
"4029","5",2,"2",-3.9,0,0,2.4,-0.961508103934721,8.18,"",5,29
"5186","3",2,"2",10.8,0,0,9.95,1.42323738238181,11,"",5,29
"6553","2",7,"2",10.2,0,0,3.4,0.198888300871304,3.88,"",5,29
"3052","9",1,"2",11.2,0,0,10.9,NA,10.9,"",5,29
"5177","5",2,"2",9.1,0,0,2.4,-0.961508103934721,8.18,"",5,29
"4031","1",1,"2",-3.1,0,0,5,-0.2541559383535,9.75,"",5,29
"2540","2",7,"2",-3.9,0,0,3.4,0.198888300871304,3.88,"",5,29
"6116","5",2,"2",4.2,0,0,2.4,-0.961508103934721,8.18,"",5,29
"2805","5",7,"2",1.2,1,1,9.25,1.00456070560344,8.18,"P80",5,29
"5759","9",1,"2",5.7,0,0,10.9,NA,10.9,"",5,29
"6121","5",2,"2",2.6,0,0,2.4,-0.961508103934721,8.18,"",5,29
"5501","3",2,"2",4.9,0,0,9.95,1.42323738238181,11,"",5,29
"5192","5",2,"2",-1,0,0,2.4,-0.961508103934721,8.18,"",5,29
"2610","5",7,"2",6.3,1,1,9.25,1.00456070560344,8.18,"P80",5,29
"2188","2",7,"2",13.4,0,0,3.4,0.198888300871304,3.88,"",5,29
"4621","6",11,"2",15.2,1,1,12.3,1.47745594932969,11.3,"P80",5,29
"4012","6",5,"2",7.9,0,0,11.3,1.2205070885767,11.3,"",5,29
"5972","9",1,"2",18.1,0,0,10.9,NA,10.9,"",5,29
"1997","2",7,"2",0.5,0,0,3.4,0.198888300871304,3.88,"",5,29
"4733","3",4,"2",-3,0,0,0.55,-0.903446338381494,11,"",5,29
"5708","5",7,"2",15.8,1,1,9.25,1.00456070560344,8.18,"P80",5,29
"6647","5",2,"2",2.2,0,0,2.4,-0.961508103934721,8.18,"",5,29
"3009","3",3,"2",14.1,1,1,12.8,2.12866808495366,11,"P80",5,29
"4909","1",6,"2",6.5,0,0,7.2,0.175954111167808,9.75,"",5,29
"272","1",18,"2",8.7,1,1,21.6,2.99121988985273,9.75,"Z|P80",5,29
"5563","5",5,"2",-2.2,0,0,5.85,0.0287017344458125,8.18,"",5,29
"968","1",14,"2",10.2,0,0,6.5,0.0391009135928461,9.75,"",5,29
"773","7",20,"2",8,0,0,6.55,-0.0907968330064649,10.55,"",5,29
"5500","1",6,"2",-0.2,0,0,7.2,0.175954111167808,9.75,"",5,29
"1381","3",12,"2",-13.7,0,0,-3.8,-1.98015635809643,11,"",5,29
"4299","2",4,"2",-5.5,0,0,0.3,-0.873379060347899,3.88,"",5,29
"2262","6",17,"2",3.3,0,0,7.8,0.321186075941236,11.3,"",5,29
"6501","9",1,"2",10.8,0,0,10.9,NA,10.9,"",5,29
