"HNO_FR","REFER1","HA22_G","RECCO","HA_22ND","POWER","POWER_ADJ","RANO_FR","N_G_IN_ROUND.x","MEDIAN_G1.x","MAD_G1.x","P80_G1.x","R_Z1","R_GATE1_Z","R_GATE1_P","R_SKIP_G_LE2","R_DEL_STEP1_ROW","X_R","X_R2","N_G_IN_ROUND.y","MEDIAN_G1.y","MAD_G1.y","Z1","P80_G1.y","GATE1_Z","GATE1_P","DEL_STEP1","N_ROUND","MEDIAN_AA2","MAD_AA2","Z2","P80_AA2","GATE2_Z","GATE2_P","DEL_STEP2","SKIP_G_LE2","SKIP_N_ROUND_LT3","POOR_LOCAL","X_C","MEDIAN_C","MAD_C","Z_C","P80_C","HR_GATE_Z","HR_GATE_P","N_ROUND_HR","HR_DEL"
1,1,1,"10611","SIGHT SUPREME (J258)",2.04,0.1053,"25092104",5,3.5,3.04,5.74,-0.480263157894737,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"10643","SIGHT SUPREME (J258)",10.92,8.9853,"25092104",5,3.5,3.04,5.74,2.44078947368421,0,1,0,1,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"10750","SKY JOY (K026)",-2.67,-3.419,"25092104",5,3.5,3.04,5.74,-2.02960526315789,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"11142","SOLID WIN (J225)",4.95,3.034,"25092104",5,3.5,3.04,5.74,0.476973684210526,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"13219","MONARCH COUNTY (J421)",-2.14,-3.9833,"25092104",5,3.5,3.04,5.74,-1.85526315789474,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"13956","WITH A SMILE (K136)",5.39,3.9387,"25092104",5,3.5,3.04,5.74,0.621710526315789,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"13970","WITH A SMILE (K136)",-3.56,-5.0113,"25092104",5,3.5,3.04,5.74,-2.32236842105263,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"14036","ICONICAL (J504)",1.3,-0.2733,"25092104",5,3.5,3.04,5.74,-0.723684210526316,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"14112","MEEPMEEP (H234)",-1.8,-2.8813,"25092104",5,3.5,3.04,5.74,-1.74342105263158,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"14605","AMAZING AWARD (J236)",2.91,0.9522,"25092104",5,3.5,3.04,5.74,-0.194078947368421,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"14625","IVY LEAGUE (H116)",-5.05,-6.9514,"25092104",5,3.5,3.04,5.74,-2.8125,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"15441","CAPITAL LEGEND (G333)",3.83,2.0252,"25092104",5,3.5,3.04,5.74,0.108552631578947,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"16247","FIGHT TIME (H409)",-1.98,-3.6953,"25092104",5,3.5,3.04,5.74,-1.80263157894737,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"7804","HAROLD WIN (J280)",-3.42,-5.2426,"25092104",5,3.5,3.04,5.74,-2.27631578947368,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,1,1,"7838","PRESTIGE ALWAYS (J300)",3.04,1.3357,"25092104",5,3.5,3.04,5.74,-0.151315789473684,0,0,0,0,1.3,1.3,5,3.5,3.04,-0.72,5.74,0,0,0,23,1.19,2.65,0.04,2.65,0,0,0,0,0,0,0.94,-0.73,2.22,0.76,1.54,0,0,23,0
1,2,1,"10143","PRINCE ALEX (G307)",3.49,2.3664,"25092104",5,4.41,2.13,6.43,-0.431924882629108,0,0,0,0,2.97,2.97,5,4.41,2.13,-0.67,6.43,0,0,0,23,1.19,2.65,0.67,2.65,0,1,1,0,0,1,2.8,-0.73,2.22,1.59,1.54,0,1,23,1
1,2,1,"10603","SIGHT SUPREME (J258)",1.18,-0.7547,"25092104",5,4.41,2.13,6.43,-1.51643192488263,0,0,0,0,2.97,2.97,5,4.41,2.13,-0.67,6.43,0,0,0,23,1.19,2.65,0.67,2.65,0,1,1,0,0,1,2.8,-0.73,2.22,1.59,1.54,0,1,23,1
1,2,1,"10622","SIGHT SUPREME (J258)",2.09,0.1553,"25092104",5,4.41,2.13,6.43,-1.08920187793427,0,0,0,0,2.97,2.97,5,4.41,2.13,-0.67,6.43,0,0,0,23,1.19,2.65,0.67,2.65,0,1,1,0,0,1,2.8,-0.73,2.22,1.59,1.54,0,1,23,1
