refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco
23,"25060705","",5,55.56,7,"시크릿왕자",14.4,"23021103","23   02   11   03",9,11.11,"파워에치드",22.4,1060,8,"23 01 07  01","1300",8,"11","파워에치드","박을운",1,24.0,0.6,17.6,41.67,"3","6",9.60,4,99,"23010701","업타운위즈",17.60,9.60,"업타운위즈",0,0,0,0,1052,1
25,"25060705","",8,36.36,3,"파워에치드",9.0,"23062502","23   06   25   02",6,54.55,"나올탱크",7.1,5235,9,"23 01 07  01","1300",9,"5","나올탱크","문성혁",1,24.2,1.2,18.8,33.33,"6","6",20.70,7,99,"23010701","업타운위즈",18.80,20.70,"업타운위즈",0,0,0,0,5226,2
24,"25060705","",6,50.00,5,"아치메모리",9.8,"23070106","23   07   01   06",5,60.00,"단디",6.0,5377,14,"23 01 07  02","1200",2,"9","단디","김용근",1,16.8,1.2,0.0,91.67,"3","6",3.80,1,0,"23010702","단디",0.00,3.80,"왈가닥",0,0,0,0,5363,3
22,"25060705","",4,66.67,5,"아치메모리",3.5,"23092405","23   09   24   05",7,33.33,"지르콘",10.3,7871,20,"23 01 07  02","1200",8,"12","지르콘","이동진",1,19.5,4.8,15.2,41.67,"4","6",8.40,3,0,"23010702","단디",15.20,8.40,"왈가닥",0,0,0,0,7851,4
19,"25060705","",2,90.91,7,"시크릿왕자",10.0,"23052002","23   05   20   02",6,54.55,"티아모",15.0,4061,21,"23 01 07  02","1200",9,"7","티아모","신형철",1,20.0,3.0,20.5,33.33,"2","6",15.50,4,0,"23010702","단디",20.50,15.50,"왈가닥",0,0,0,0,4040,5
20,"25060705","",6,44.44,7,"시크릿왕자",5.5,"23050703","23   05   07   03",4,66.67,"새로운빛깔",4.2,3742,43,"23 01 07  04","1700",7,"1","새로운빛깔","김옥성",1,56.6,0.2,11.8,50.00,"5","5",13.10,4,0,"23010704","너를응원해",11.80,13.10,"너를응원해",0,0,0,0,3699,6
20,"25060705","",6,44.44,7,"시크릿왕자",5.5,"23050703","23   05   07   03",9,11.11,"유로강자",25.9,3742,47,"23 01 07  04","1700",11,"2","유로강자","하정훈",1,57.6,4.2,16.0,16.67,"5","5",-4.40,11,0,"23010704","너를응원해",16.00,-4.40,"너를응원해",0,0,0,0,3695,7
26,"25060705","",3,80.00,5,"아치메모리",1.6,"23042304","23   04   23   04",5,60.00,"스마트별",4.0,3420,73,"23 01 07  07","1300",4,"2","스마트별","김옥성",1,23.2,2.4,11.4,75.00,"6","4",9.00,1,0,"23010707","스마트별",11.40,7.00,"슈어윈",0,0,0,0,3347,8
26,"25060705","",3,80.00,5,"아치메모리",1.6,"23042304","23   04   23   04",7,40.00,"위즈업",8.0,3420,74,"23 01 07  07","1300",5,"11","위즈업","이용호",1,23.4,1.2,11.8,66.67,"5","4",5.40,4,0,"23010707","스마트별",11.80,3.40,"슈어윈",0,0,0,0,3346,9
27,"25060705","",2,91.67,5,"아치메모리",6.3,"23032605","23   03   26   05",3,83.33,"브이퀸",7.0,2582,76,"23 01 07  07","1300",7,"10","브이퀸","정정희",1,23.6,0.6,11.5,50.00,"6","4",10.80,5,0,"23010707","스마트별",11.50,8.80,"슈어윈",0,0,0,0,2506,10
22,"25060705","",4,66.67,5,"아치메모리",3.5,"23092405","23   09   24   05",6,44.44,"젤로스",4.7,7871,77,"23 01 07  07","1300",8,"8","젤로스","조상범",1,23.6,0.2,13.2,41.67,"4","2",12.00,6,0,"23010707","스마트별",13.20,7.00,"슈어윈",0,0,0,0,7794,11
22,"25060705","",4,72.73,3,"파워에치드",6.9,"23092404","23   09   24   04",5,63.64,"투아레그나인",9.0,7860,148,"23 01 08  01","1200",8,"9","투아레그나인","조상범",1,19.0,0.6,15.2,41.67,"5","4",13.10,2,0,"23010801","최강현마",15.20,11.10,"글로벌진격",0,0,0,0,7712,12
24,"25060705","",7,45.45,3,"파워에치드",18.8,"23082003","23   08   20   03",5,63.64,"투아레그나인",11.7,6773,148,"23 01 08  01","1200",8,"9","투아레그나인","조상범",1,19.0,0.6,15.2,41.67,"3","4",22.30,4,0,"23010801","최강현마",15.20,20.30,"글로벌진격",0,0,0,0,6625,13
23,"25060705","",5,55.56,7,"시크릿왕자",14.4,"23021103","23   02   11   03",8,22.22,"투아레그나인",21.8,1060,148,"23 01 08  01","1200",8,"9","투아레그나인","조상범",1,19.0,0.6,15.2,41.67,"4","4",7.80,5,0,"23010801","최강현마",15.20,5.80,"글로벌진격",0,0,0,0,912,14
27,"25060705","",9,11.11,3,"파워에치드",22.4,"23021103","23   02   11   03",8,22.22,"투아레그나인",21.8,1064,148,"23 01 08  01","1200",8,"9","투아레그나인","조상범",1,19.0,0.6,15.2,41.67,"4","4",15.80,6,0,"23010801","최강현마",15.20,13.80,"글로벌진격",0,0,0,0,916,15
23,"25060705","",5,55.56,7,"시크릿왕자",14.4,"23021103","23   02   11   03",7,33.33,"네버어게인",18.8,1060,150,"23 01 08  01","1200",10,"4","네버어게인","이동진",1,19.9,2.4,20.6,25.00,"4","4",16.20,8,0,"23010801","최강현마",20.60,14.20,"글로벌진격",0,0,0,0,910,16
27,"25060705","",9,11.11,3,"파워에치드",22.4,"23021103","23   02   11   03",7,33.33,"네버어게인",18.8,1064,150,"23 01 08  01","1200",10,"4","네버어게인","이동진",1,19.9,2.4,20.6,25.00,"4","4",24.20,9,0,"23010801","최강현마",20.60,22.20,"글로벌진격",0,0,0,0,914,17
17,"25060705","",3,75.00,7,"시크릿왕자",6.9,"23070807","23   07   08   07",6,37.50,"아르고공주",11.0,5580,153,"23 01 08  02","1300",1,"9","아르고공주","안토니오",1,23.6,0.0,0.0,100.0,"4","4",-4.10,1,0,"23010802","아르고공주",0.00,-6.10,"아르고공주",0,0,0,0,5427,18
23,"25060705","",5,63.64,5,"아치메모리",14.5,"23080607","23   08   06   07",6,54.55,"하이본미",14.7,6349,160,"23 01 08  02","1300",8,"12","하이본미","김정준",1,26.0,1.8,14.9,30.00,"6","5",14.70,3,0,"23010802","아르고공주",14.90,14.70,"아르고공주",0,0,0,0,6189,19
